gene	GWAS	Fst	H12	PBS
AGAP001980	FALSE	FALSE	TRUE	FALSE
AGAP002858	FALSE	FALSE	TRUE	FALSE
AGAP002859	FALSE	FALSE	TRUE	FALSE
AGAP002874	FALSE	FALSE	TRUE	FALSE
AGAP002875	FALSE	FALSE	TRUE	TRUE
AGAP002876	FALSE	FALSE	TRUE	TRUE
AGAP002877	FALSE	FALSE	TRUE	TRUE
AGAP002878	FALSE	FALSE	TRUE	TRUE
AGAP002879	FALSE	FALSE	TRUE	TRUE
AGAP002880	FALSE	FALSE	TRUE	TRUE
AGAP002881	FALSE	FALSE	TRUE	TRUE
AGAP002883	FALSE	FALSE	TRUE	TRUE
AGAP002884	FALSE	FALSE	TRUE	TRUE
AGAP002885	FALSE	FALSE	FALSE	TRUE
AGAP003059	TRUE	FALSE	TRUE	FALSE
AGAP003638	FALSE	FALSE	TRUE	FALSE
AGAP003639	FALSE	FALSE	TRUE	FALSE
AGAP003643	FALSE	FALSE	TRUE	FALSE
AGAP004119	FALSE	FALSE	TRUE	FALSE
AGAP004366	FALSE	FALSE	TRUE	FALSE
AGAP004367	FALSE	FALSE	TRUE	FALSE
AGAP004765	FALSE	FALSE	FALSE	TRUE
AGAP004766	FALSE	FALSE	FALSE	TRUE
AGAP004767	FALSE	FALSE	FALSE	TRUE
AGAP004768	FALSE	FALSE	FALSE	TRUE
AGAP004769	FALSE	FALSE	FALSE	TRUE
AGAP004770	FALSE	FALSE	FALSE	TRUE
AGAP004771	FALSE	FALSE	FALSE	TRUE
AGAP004772	FALSE	FALSE	FALSE	TRUE
AGAP004773	FALSE	FALSE	FALSE	TRUE
AGAP005219	TRUE	FALSE	FALSE	FALSE
AGAP006056	FALSE	FALSE	TRUE	FALSE
AGAP006057	FALSE	FALSE	TRUE	FALSE
AGAP006058	FALSE	FALSE	TRUE	FALSE
AGAP006219	FALSE	FALSE	TRUE	FALSE
AGAP006220	FALSE	FALSE	TRUE	FALSE
AGAP006221	FALSE	FALSE	TRUE	FALSE
AGAP006222	FALSE	FALSE	TRUE	FALSE
AGAP006223	FALSE	FALSE	TRUE	FALSE
AGAP006224	FALSE	FALSE	TRUE	FALSE
AGAP006225	FALSE	FALSE	TRUE	FALSE
AGAP008072	TRUE	FALSE	FALSE	FALSE
AGAP008073	TRUE	FALSE	FALSE	FALSE
AGAP008074	TRUE	FALSE	FALSE	FALSE
AGAP008077	TRUE	FALSE	FALSE	FALSE
AGAP008911	FALSE	FALSE	TRUE	FALSE
AGAP008912	FALSE	FALSE	TRUE	FALSE
AGAP008980	TRUE	FALSE	FALSE	FALSE
AGAP008983	TRUE	FALSE	FALSE	FALSE
AGAP008984	TRUE	FALSE	FALSE	FALSE
AGAP008995	TRUE	FALSE	FALSE	FALSE
AGAP008996	TRUE	FALSE	FALSE	FALSE
AGAP008997	TRUE	FALSE	FALSE	FALSE
AGAP008998	TRUE	FALSE	FALSE	FALSE
AGAP009518	FALSE	FALSE	TRUE	FALSE
AGAP009626	TRUE	FALSE	FALSE	FALSE
AGAP011583	TRUE	FALSE	FALSE	FALSE
AGAP011806	FALSE	FALSE	FALSE	TRUE
AGAP011807	FALSE	FALSE	FALSE	TRUE
AGAP011808	FALSE	FALSE	FALSE	TRUE
AGAP011973	TRUE	FALSE	FALSE	FALSE
AGAP011974	TRUE	FALSE	FALSE	FALSE
AGAP011975	TRUE	FALSE	FALSE	FALSE
AGAP013115	FALSE	FALSE	TRUE	TRUE
AGAP013227	TRUE	FALSE	FALSE	FALSE
AGAP013244	FALSE	FALSE	TRUE	TRUE
AGAP028030	TRUE	FALSE	FALSE	FALSE
AGAP028129	FALSE	FALSE	FALSE	TRUE
AGAP028176	FALSE	FALSE	TRUE	FALSE
AGAP028193	TRUE	FALSE	FALSE	FALSE
AGAP029190	FALSE	FALSE	TRUE	FALSE
AGAP029320	FALSE	FALSE	FALSE	TRUE
AGAP029543	TRUE	FALSE	FALSE	FALSE
AGAP029602	TRUE	FALSE	FALSE	FALSE
Gprnna2 (AGAP002886)	FALSE	FALSE	FALSE	TRUE
Gprnna3 (AGAP002888)	FALSE	FALSE	FALSE	TRUE
Scrasp3 (AGAP001979)	FALSE	FALSE	TRUE	FALSE
Sp8898 (AGAP003642)	FALSE	FALSE	TRUE	FALSE
Sp8905 (AGAP003640)	FALSE	FALSE	TRUE	FALSE
Sp8907 (AGAP003641)	FALSE	FALSE	TRUE	FALSE
